Size(Bytes),ThreadsPerBlock,Blocks,Bandwidth(GB/s)
268435456,128,4,3.99
268435456,128,8,3.99
268435456,128,16,3.99
268435456,128,32,3.99
268435456,256,1,7.88
268435456,256,2,7.87
268435456,256,4,7.88
268435456,256,8,7.88
268435456,256,16,7.88
268435456,256,32,7.88
268435456,512,1,2.74
268435456,512,2,15.21
268435456,512,4,15.20
268435456,512,8,15.22
268435456,512,16,15.20
268435456,512,32,15.21
268435456,1024,1,28.18
268435456,1024,2,28.19
268435456,1024,4,28.23
268435456,1024,8,28.18
268435456,1024,16,28.17
268435456,1024,32,28.20
1073741824,32,1,1.01
1073741824,32,2,1.01
1073741824,32,4,1.01
1073741824,32,8,1.01
1073741824,32,16,0.95
1073741824,32,32,1.01
1073741824,64,1,2.01
1073741824,64,2,2.01
1073741824,64,4,2.01
1073741824,64,8,2.01
1073741824,64,16,2.01
1073741824,64,32,2.01
1073741824,128,1,3.99
1073741824,128,2,3.99
1073741824,128,4,3.99
1073741824,128,8,3.99
1073741824,128,16,3.99
1073741824,128,32,3.99
1073741824,256,1,7.88
1073741824,256,2,7.88
1073741824,256,4,7.88
1073741824,256,8,7.88
1073741824,256,16,7.87
1073741824,256,32,7.88
1073741824,512,1,15.27
1073741824,512,2,15.26
1073741824,512,4,15.27
1073741824,512,8,15.27
1073741824,512,16,15.26
1073741824,512,32,15.26
1073741824,1024,1,28.33
1073741824,1024,2,28.36
1073741824,1024,4,28.36
1073741824,1024,8,28.33
1073741824,1024,16,28.35
1073741824,1024,32,5.52
