Size(Bytes),ThreadsPerBlock,Blocks,Stride,Bandwidth(GB/s)
16777216,1024,4,32,0.65GB/s
16777216,1024,8,1,1.33GB/s
16777216,1024,8,2,1.35GB/s
16777216,1024,8,4,1.32GB/s
16777216,1024,8,8,1.35GB/s
16777216,1024,8,16,1.34GB/s
16777216,1024,8,32,1.36GB/s
16777216,1024,16,1,2.50GB/s
16777216,1024,16,2,2.44GB/s
16777216,1024,16,4,2.74GB/s
16777216,1024,16,8,2.72GB/s
16777216,1024,16,16,2.66GB/s
16777216,1024,16,32,2.92GB/s
16777216,1024,32,1,5.61GB/s
16777216,1024,32,2,5.79GB/s
16777216,1024,32,4,5.63GB/s
16777216,1024,32,8,5.65GB/s
16777216,1024,32,16,5.91GB/s
16777216,1024,32,32,5.49GB/s
67108864,1024,1,1,0.18GB/s
67108864,1024,1,2,0.18GB/s
67108864,1024,1,4,0.17GB/s
67108864,1024,1,8,0.17GB/s
67108864,1024,1,16,0.17GB/s
67108864,1024,1,32,0.17GB/s
67108864,1024,2,1,0.34GB/s
67108864,1024,2,2,0.33GB/s
67108864,1024,2,4,0.34GB/s
67108864,1024,2,8,0.34GB/s
67108864,1024,2,16,0.32GB/s
67108864,1024,2,32,0.33GB/s
67108864,1024,4,1,0.61GB/s
67108864,1024,4,2,0.53GB/s
67108864,1024,4,4,0.67GB/s
67108864,1024,4,8,0.69GB/s
67108864,1024,4,16,0.60GB/s
67108864,1024,4,32,0.70GB/s
67108864,1024,8,1,1.31GB/s
67108864,1024,8,2,1.38GB/s
67108864,1024,8,4,1.31GB/s
67108864,1024,8,8,1.32GB/s
67108864,1024,8,16,1.32GB/s
67108864,1024,8,32,1.36GB/s
67108864,1024,16,1,2.70GB/s
67108864,1024,16,2,2.87GB/s
67108864,1024,16,4,2.68GB/s
67108864,1024,16,8,2.71GB/s
67108864,1024,16,16,2.54GB/s
67108864,1024,16,32,2.50GB/s
67108864,1024,32,1,5.38GB/s
67108864,1024,32,2,5.37GB/s
67108864,1024,32,4,5.38GB/s
67108864,1024,32,8,4.65GB/s
67108864,1024,32,16,5.09GB/s
67108864,1024,32,32,5.55GB/s
268435456,1024,1,1,0.03GB/s
268435456,1024,1,2,0.03GB/s
268435456,1024,1,4,0.02GB/s
